Epoch,loss,val_loss
0,0.07218171656131744,0.014074264094233513
1,0.02044489234685898,0.007230983581393957
2,0.013946236111223698,0.00286635453812778
3,0.008637627586722374,0.0012734305346384645
4,0.007394589949399233,0.0013391537358984351
5,0.008222918026149273,0.0013288430636748672
6,0.007770297583192587,0.0013602013932541013
7,0.006972556468099356,0.0013018692843616009
8,0.006030685268342495,0.0014020443195477128
9,0.005127982702106237,0.0012338183587417006
10,0.005924081429839134,0.0012176093878224492
11,0.006050134543329477,0.0012355220969766378
12,0.005154030863195658,0.0012615941232070327
13,0.005886802449822426,0.0014507084852084517
14,0.00495796836912632,0.001330688945017755
15,0.006343315355479717,0.0018259178614243865
16,0.006450240034610033,0.0016010570107027888
17,0.006029972340911627,0.0016045778756961226
18,0.005538146942853928,0.0014244586927816272
19,0.005017155781388283,0.0013190062018111348
20,0.00467087235301733,0.0012294392799958587
