Epoch,loss,val_loss
0,0.1765553057193756,0.16756057739257812
1,0.03765924274921417,0.031213566660881042
2,0.024045884609222412,0.06319429725408554
3,0.01900411769747734,0.02415737882256508
4,0.013947077095508575,0.011702808551490307
5,0.010662112385034561,0.0033998966682702303
6,0.010496335104107857,0.003597044153138995
7,0.010324430651962757,0.003358859336003661
8,0.009178202599287033,0.00202673370949924
9,0.009707941673696041,0.0021666325628757477
10,0.00914427638053894,0.0021148971281945705
11,0.008315636776387691,0.0019099523779004812
12,0.008245963603258133,0.001799111720174551
13,0.0083285141736269,0.0025410158559679985
14,0.007090684492141008,0.0029504550620913506
15,0.007190917618572712,0.003542293794453144
16,0.008661163970828056,0.0026918582152575254
17,0.0069778659380972385,0.0025104042142629623
18,0.007735279854387045,0.004553153179585934
19,0.0064452714286744595,0.002880390966311097
20,0.0072858501225709915,0.00468186242505908
21,0.006679989397525787,0.0039041186682879925
22,0.0070047094486653805,0.006117621436715126
