Epoch,loss,val_loss
0,0.03775876387953758,0.022627409547567368
1,0.011374194175004959,0.004898452665656805
2,0.009479417465627193,0.001016930560581386
3,0.006720137782394886,0.0010493187000975013
4,0.0038786963559687138,0.002623189939185977
5,0.003649425460025668,0.0027682839427143335
6,0.0042205434292554855,0.003981852438300848
7,0.004029655363410711,0.0024934036191552877
8,0.0034491345286369324,0.0022446734365075827
9,0.004149464890360832,0.002411002293229103
10,0.0035747881047427654,0.0013054690789431334
11,0.0032882236409932375,0.0012072898680344224
12,0.002801998984068632,0.001452307216823101
