Date,Actual,Predicted
2024-11-06,172.0897979736328,165.03206562881317
2024-11-07,172.0102081298828,164.92978426862012
2024-11-08,170.02061462402344,164.68338258058068
2024-11-11,167.41424560546875,165.5323643412685
2024-11-12,162.5596466064453,166.42445927679367
2024-11-13,159.585205078125,166.14785138315713
2024-11-14,163.11672973632812,164.90100217693455
2024-11-15,159.66477966308594,163.99710208661648
2024-11-18,163.6439666748047,162.62933061863262
2024-11-19,163.85287475585938,162.14872215483823
2024-11-20,153.4672088623047,162.16746049577935
2024-11-21,154.65101623535156,159.9927785901887
2024-11-22,155.9740753173828,157.88731236836637
2024-11-25,157.9935302734375,156.71650709735107
2024-11-26,156.1133575439453,156.0052633855851
2024-11-27,155.5861053466797,155.45159038279306
2024-11-29,157.7050323486328,155.32572119902332
2024-12-02,162.18161010742188,155.65236421064085
2024-12-03,161.7339630126953,156.3910820778947
2024-12-04,162.49000549316406,157.31117209478592
2024-12-05,160.38999938964844,158.14663226865062
2024-12-06,159.50999450683594,158.4777162670712
2024-12-09,160.74000549316406,158.18523325098934
2024-12-10,156.4600067138672,158.05140027231963
2024-12-11,159.8300018310547,157.54122645418832
2024-12-12,158.24000549316406,157.32100222844363
2024-12-13,158.52999877929688,156.97640039086812
2024-12-16,157.88999938964844,156.37731314497117
2024-12-17,157.9199981689453,155.711839704788
2024-12-18,153.0500030517578,155.38780132256127
2024-12-19,150.39999389648438,154.28966333771567
2024-12-20,152.88999938964844,152.9534959555631
2024-12-23,158.24000549316406,151.54155072264464
2024-12-24,159.36000061035156,152.06734107411629
2024-12-26,158.52999877929688,153.81560954558248
2024-12-27,157.24000549316406,155.31648319693934
2024-12-30,154.5800018310547,155.89725184073225
2024-12-31,153.6199951171875,155.82827975539615
