Date,Actual,Predicted
2024-11-06,179.07020568847656,161.70273829720418
2024-11-07,183.31881713867188,161.70650508941162
2024-11-08,183.14927673339844,161.96970875882516
2024-11-11,178.43191528320312,162.35001248737944
2024-11-12,175.7490997314453,162.70696659743908
2024-11-13,173.1161651611328,162.99261375839478
2024-11-14,169.92471313476562,163.1647778793672
2024-11-15,164.39950561523438,163.16733899852215
2024-11-18,165.227294921875,162.90720567663357
2024-11-19,164.9081573486328,162.42719054004328
2024-11-20,162.8137664794922,161.83708472305216
2024-11-21,163.50192260742188,161.1556323228674
2024-11-22,163.7911376953125,160.5099981475896
2024-11-25,164.37957763671875,159.82380543037243
2024-11-26,164.29978942871094,159.1943093012319
2024-11-27,159.2433319091797,158.45234858884805
2024-11-29,161.6468963623047,157.54770438955666
2024-12-02,166.06504821777344,156.6329729753479
2024-12-03,167.70066833496094,156.0542873534191
2024-12-04,170.10423278808594,155.7220083533466
2024-12-05,170.01446533203125,155.8496524352072
2024-12-06,179.05026245117188,156.15261336074263
2024-12-09,178.4618377685547,156.99829939890242
2024-12-10,171.35089111328125,158.0102335225597
2024-12-11,182.71044921875,158.89064444236146
2024-12-12,180.17724609375,160.10120009627326
2024-12-13,224.1992950439453,161.44467184340556
2024-12-16,249.3319549560547,164.43909192066303
2024-12-17,239.5880584716797,168.64719790857725
2024-12-18,223.0224456787109,172.5869105908955
2024-12-19,217.7366180419922,176.23476801933566
2024-12-20,220.1999969482422,179.2903853648222
2024-12-23,232.3500061035156,182.63311015850195
2024-12-24,239.67999267578125,184.86779895099335
2024-12-26,245.3600006103516,186.9187311884425
2024-12-27,241.75,188.75313652750992
2024-12-30,235.5800018310547,189.9853194098414
2024-12-31,231.83999633789065,190.72849328393022
