Date,Actual,Predicted
2024-11-06,145.59996032714844,140.39839056106624
2024-11-07,148.8697509765625,141.03013947396406
2024-11-08,147.6198272705078,142.5831310628728
2024-11-11,145.24998474121094,144.4452805087699
2024-11-12,148.27976989746094,145.8901542745439
2024-11-13,146.25991821289062,147.07446838851732
2024-11-14,146.7498779296875,147.84865361724817
2024-11-15,141.97021484375,148.35692256733594
2024-11-18,140.1403350830078,148.05162259185593
2024-11-19,146.99986267089844,147.09477083688674
2024-11-20,145.87994384765625,146.63031243328035
2024-11-21,146.65989685058594,146.18102188754668
2024-11-22,141.94021606445312,145.87340440770734
2024-11-25,136.01063537597656,145.2420579356863
2024-11-26,136.9105682373047,143.75383157339414
2024-11-27,135.33067321777344,142.2062937522292
2024-11-29,138.240478515625,140.67032957558925
2024-12-02,138.62045288085938,139.58725015803068
2024-12-03,140.25033569335938,138.86954542476363
2024-12-04,145.1300048828125,138.69251307080006
2024-12-05,145.05999755859375,139.2368351725377
2024-12-06,142.44000244140625,140.1838756964767
2024-12-09,138.80999755859375,140.77028756301573
2024-12-10,135.07000732421875,140.60084607662432
2024-12-11,139.30999755859375,139.78296131958498
2024-12-12,137.33999633789062,139.05894242773414
2024-12-13,134.25,138.3577100158714
2024-12-16,132.0,137.2003594406415
2024-12-17,130.38999938964844,135.47714229949523
2024-12-18,128.91000366210938,133.4858787185133
2024-12-19,130.67999267578125,131.32757441912898
2024-12-20,134.6999969482422,129.66603481166547
2024-12-23,139.6699981689453,128.87325403897356
2024-12-24,140.22000122070312,129.38158543678358
2024-12-26,139.92999267578125,130.8464563509515
2024-12-27,137.00999450683594,132.5566011022386
2024-12-30,137.49000549316406,133.70831750519372
2024-12-31,134.2899932861328,134.34909358327562
