Epoch,loss,val_loss
0,0.09973403066396713,0.0009383196593262255
1,0.03008093498647213,0.0015913285315036774
2,0.013465957716107368,0.0027357246726751328
3,0.010092465206980705,0.0025125935208052397
4,0.008969518356025219,0.005849871784448624
5,0.008511190302670002,0.0046323975548148155
6,0.009484413079917431,0.005243987776339054
7,0.008250811137259007,0.0033072715159505606
8,0.0068934159353375435,0.001919772126711905
9,0.007760415319353342,0.002016855636611581
10,0.0078034717589616776,0.0023586938623338938
