Epoch,loss,val_loss
0,0.06500805169343948,0.24079972505569458
1,0.020875614136457443,0.020938226953148842
2,0.009496346116065979,0.0028429084923118353
3,0.00823589414358139,0.009784655645489693
4,0.006153179798275232,0.008552220650017262
5,0.004270525649189949,0.01053426694124937
6,0.004252367652952671,0.012041729874908924
7,0.0033877070527523756,0.012470920570194721
8,0.00362206413410604,0.010714507661759853
9,0.003604658879339695,0.013576112687587738
10,0.0032627126201987267,0.012606711126863956
11,0.0028173450846225023,0.012484382838010788
12,0.004237571731209755,0.01857011951506138
