Epoch,loss,val_loss
0,0.0721839889883995,0.8118467926979065
1,0.03173334151506424,0.38473570346832275
2,0.015738369897007942,0.18958215415477753
3,0.011935238726437092,0.15137486159801483
4,0.010045213624835014,0.17765812575817108
5,0.009656841866672039,0.14296980202198029
6,0.010085748508572578,0.1437232941389084
7,0.008384974673390388,0.18195761740207672
8,0.010391590185463428,0.18799902498722076
9,0.009262769483029842,0.21294784545898438
10,0.009381434880197048,0.20785152912139893
11,0.008625203743577003,0.1954762041568756
12,0.008821566589176655,0.21673333644866943
13,0.008885132148861885,0.2247643768787384
14,0.0085541857406497,0.211201474070549
15,0.008200225420296192,0.23277151584625244
