Date,Actual,Predicted
2024-11-06,179.07020568847656,173.7710986993552
2024-11-07,183.31881713867188,174.0105258970816
2024-11-08,183.14927673339844,175.17014373668917
2024-11-11,178.43191528320312,176.6110952734125
2024-11-12,175.7490997314453,177.6346143424871
2024-11-13,173.1161651611328,177.8076771017595
2024-11-14,169.92471313476562,177.25964253451275
2024-11-15,164.39950561523438,176.18840577170886
2024-11-18,165.227294921875,174.29794038002728
2024-11-19,164.9081573486328,172.35291266623153
2024-11-20,162.8137664794922,170.3856286772061
2024-11-21,163.50192260742188,168.19539252595405
2024-11-22,163.7911376953125,166.31914059671726
2024-11-25,164.37957763671875,164.72357834048125
2024-11-26,164.29978942871094,163.87700115267398
2024-11-27,159.2433319091797,163.4303779175807
2024-11-29,161.6468963623047,162.24451983961353
2024-12-02,166.06504821777344,161.03306554740175
2024-12-03,167.70066833496094,160.950450733023
2024-12-04,170.10423278808594,161.6548034325524
2024-12-05,170.01446533203125,163.43922950483557
2024-12-06,179.05026245117188,165.14342215423494
2024-12-09,178.4618377685547,167.04958376155628
2024-12-10,171.35089111328125,168.90594582975336
2024-12-11,182.71044921875,170.15011055608466
2024-12-12,180.17724609375,172.3026787852623
2024-12-13,224.1992950439453,174.72077965478093
2024-12-16,249.3319549560547,183.90883206646777
2024-12-17,239.5880584716797,198.2786875300617
2024-12-18,223.0224456787109,211.5783246875917
2024-12-19,217.7366180419922,220.6636777188951
2024-12-20,220.1999969482422,225.81152722036768
2024-12-23,232.3500061035156,230.57588282732104
2024-12-24,239.67999267578125,234.19147914079167
2024-12-26,245.3600006103516,237.3089302899698
2024-12-27,241.75,240.58308898136056
2024-12-30,235.5800018310547,243.18364338038646
2024-12-31,231.83999633789065,244.3975239960082
