Epoch,loss,val_loss
0,0.05244410037994385,0.007057494949549437
1,0.011273987591266632,0.004901343956589699
2,0.007866982370615005,0.010080298408865929
3,0.005645279306918383,0.008173543028533459
4,0.0044263266026973724,0.012187349610030651
5,0.004462172742933035,0.010625503025949001
6,0.004390586167573929,0.00635273614898324
7,0.004681062418967485,0.0021822568960487843
8,0.003349256468936801,0.0062567684799432755
9,0.0038851213175803423,0.0032834720332175493
10,0.004036659840494394,0.007210108917206526
11,0.004060631617903709,0.007525668945163488
12,0.003636377863585949,0.015419757924973965
13,0.0030400878749787807,0.006708620581775904
14,0.002837811131030321,0.017347369343042374
15,0.003511783666908741,0.0036328216083347797
16,0.0026253394316881895,0.00698257889598608
17,0.002322125481441617,0.014516999945044518
