Epoch,loss,val_loss
0,0.08547066152095795,0.03355870768427849
1,0.026333563029766083,0.0032269549556076527
2,0.012872443534433842,0.003334449604153633
3,0.00652990210801363,0.0010776068083941936
4,0.004548491444438696,0.0013044485822319984
5,0.004492040723562241,0.002255368744954467
6,0.004440631717443466,0.0028079666662961245
7,0.004012841731309891,0.0032763744238764048
8,0.004726390819996595,0.0031658404041081667
9,0.005413390230387449,0.005831959657371044
10,0.006629614159464836,0.004767277743667364
11,0.005238187033683062,0.0019323413725942373
12,0.0039153872057795525,0.0012872820952907205
13,0.004190291743725538,0.001325708581134677
