Date,Actual,Predicted
2024-11-06,145.10000610351562,145.7177023645445
2024-11-07,149.82000732421875,144.47726887793033
2024-11-08,147.9499969482422,143.62236803149972
2024-11-11,147.35000610351562,142.89841264201914
2024-11-12,143.6300048828125,142.38643105934352
2024-11-13,139.3000030517578,141.89993800613684
2024-11-14,138.83999633789062,141.2570647921907
2024-11-15,134.89999389648438,140.43036032095233
2024-11-18,138.92999267578125,139.33571161708687
2024-11-19,139.38999938964844,138.13533685734274
2024-11-20,137.60000610351562,137.10792470806564
2024-11-21,137.49000549316406,136.25398858342942
2024-11-22,138.35000610351562,135.58830156224258
2024-11-25,141.1300048828125,135.09907168025438
2024-11-26,137.72000122070312,134.9363525106428
2024-11-27,136.24000549316406,134.66950135335355
2024-11-29,137.17999267578125,134.10704784504014
2024-12-02,142.05999755859375,133.45929305600566
2024-12-03,141.97999572753906,133.2640714568406
2024-12-04,143.99000549316406,133.37364811902307
2024-12-05,141.36000061035156,134.02295143145284
2024-12-06,138.58999633789062,134.78299900926686
2024-12-09,130.8699951171875,135.56264327486133
2024-12-10,127.73999786376952,135.7700377584706
2024-12-11,130.14999389648438,135.29186698340436
2024-12-12,130.60000610351562,134.61480204165537
2024-12-13,126.91000366210938,133.7173416444757
2024-12-16,126.69000244140624,132.6823276530763
2024-12-17,125.0199966430664,131.3110936248031
2024-12-18,121.41000366210938,129.79940355605322
2024-12-19,118.87999725341795,128.13348221330762
2024-12-20,119.20999908447266,126.2579595340926
2024-12-23,124.5999984741211,124.18613460168535
2024-12-24,126.29000091552734,122.4507284471224
2024-12-26,125.05999755859376,120.90651524663463
2024-12-27,125.19000244140624,119.62249952136062
2024-12-30,122.44000244140624,118.71904377157034
2024-12-31,120.79000091552734,118.13731652955357
