Epoch,loss,val_loss
0,0.06274532526731491,0.004245358053594828
1,0.015707144513726234,0.019707275554537773
2,0.008904384449124336,0.005278818774968386
3,0.00712879141792655,0.005968026351183653
4,0.005624353885650635,0.003725784830749035
5,0.005582678131759167,0.0037282872945070267
6,0.004521986469626427,0.004418814554810524
7,0.004223338793963194,0.0044219219125807285
8,0.005005995277315378,0.004534566774964333
9,0.0048537966795265675,0.004083085805177689
10,0.005084644537419081,0.00410272553563118
11,0.004889399278908968,0.004268547520041466
12,0.0045208195224404335,0.004321505781263113
13,0.004232651554048061,0.006418582983314991
14,0.004415086470544338,0.0060633709654212
