Date,Actual,Predicted
2024-11-06,179.07020568847656,169.3696431925464
2024-11-07,183.31881713867188,170.48188781643967
2024-11-08,183.14927673339844,172.13407926287982
2024-11-11,178.43191528320312,173.4387298354527
2024-11-12,175.7490997314453,173.9917368679594
2024-11-13,173.1161651611328,173.80162244694475
2024-11-14,169.92471313476562,173.08314614880055
2024-11-15,164.39950561523438,171.97916899726715
2024-11-18,165.227294921875,170.23790751799334
2024-11-19,164.9081573486328,168.50054762667196
2024-11-20,162.8137664794922,167.13956740999492
2024-11-21,163.50192260742188,165.9246009397607
2024-11-22,163.7911376953125,165.27649550915794
2024-11-25,164.37957763671875,164.60921912815547
2024-11-26,164.29978942871094,164.40995357378597
2024-11-27,159.2433319091797,163.88457966900387
2024-11-29,161.6468963623047,162.9513887263829
2024-12-02,166.06504821777344,162.35111331929693
2024-12-03,167.70066833496094,163.16038204034976
2024-12-04,170.10423278808594,164.30655026006752
2024-12-05,170.01446533203125,166.30590065909746
2024-12-06,179.05026245117188,167.56973058689346
2024-12-09,178.4618377685547,169.63972893360733
2024-12-10,171.35089111328125,171.03391383546887
2024-12-11,182.71044921875,171.15586654142953
2024-12-12,180.17724609375,172.59609916751288
2024-12-13,224.1992950439453,174.11448337108504
2024-12-16,249.3319549560547,183.01949467288614
2024-12-17,239.5880584716797,194.95622703004665
2024-12-18,223.0224456787109,202.25749846708186
2024-12-19,217.7366180419922,206.12899701377864
2024-12-20,220.1999969482422,207.1557661580382
2024-12-23,232.3500061035156,210.5269328539125
2024-12-24,239.67999267578125,211.38426374670962
2024-12-26,245.3600006103516,212.15953398541296
2024-12-27,241.75,214.07072796721422
2024-12-30,235.5800018310547,215.4027944965892
2024-12-31,231.83999633789065,215.42677316189383
