Date,Actual,Predicted
2024-11-06,145.10000610351562,145.24504665141012
2024-11-07,149.82000732421875,143.69022979205783
2024-11-08,147.9499969482422,143.18220646704503
2024-11-11,147.35000610351562,142.9961849186402
2024-11-12,143.6300048828125,142.96258113287513
2024-11-13,139.3000030517578,142.6437095265528
2024-11-14,138.83999633789062,141.7534617704282
2024-11-15,134.89999389648438,140.55962890096362
2024-11-18,138.92999267578125,139.15722980425107
2024-11-19,139.38999938964844,138.30623338980377
2024-11-20,137.60000610351562,137.50947669856032
2024-11-21,137.49000549316406,136.9026749707632
2024-11-22,138.35000610351562,136.42319581764104
2024-11-25,141.1300048828125,135.96070901749817
2024-11-26,137.72000122070312,135.9391124987019
2024-11-27,136.24000549316406,135.73225627188776
2024-11-29,137.17999267578125,135.27831533347717
2024-12-02,142.05999755859375,134.8179857009518
2024-12-03,141.97999572753906,135.27633620464576
2024-12-04,143.99000549316406,135.95066017717636
2024-12-05,141.36000061035156,136.85895195724925
2024-12-06,138.58999633789062,137.40261202253805
2024-12-09,130.8699951171875,137.39019071188068
2024-12-10,127.73999786376952,136.48569157199518
2024-12-11,130.14999389648438,134.6522108889185
2024-12-12,130.60000610351562,133.02583899930596
2024-12-13,126.91000366210938,131.61066251436387
2024-12-16,126.69000244140624,130.5695455189948
2024-12-17,125.0199966430664,129.34659295691245
2024-12-18,121.41000366210938,128.1360203011186
2024-12-19,118.87999725341795,126.83287575743225
2024-12-20,119.20999908447266,125.30555967987539
2024-12-23,124.5999984741211,124.36512982869499
2024-12-24,126.29000091552734,124.01245983607396
2024-12-26,125.05999755859376,123.78471096473413
2024-12-27,125.19000244140624,123.72833063566031
2024-12-30,122.44000244140624,123.98120781846
2024-12-31,120.79000091552734,124.02236376110477
