Epoch,loss,val_loss
0,0.06581655144691467,0.15924958884716034
1,0.012722987681627274,0.0036331024020910263
2,0.006530154962092638,0.023143598809838295
3,0.005846982356160879,0.00630620401352644
4,0.006109684705734253,0.012303195893764496
5,0.0046736397780478,0.009283064864575863
6,0.0032468801364302635,0.008214287459850311
7,0.0036976179108023643,0.027495577931404114
8,0.004245716612786055,0.010186797939240932
9,0.003876970848068595,0.0061497436836361885
10,0.0026691819075495005,0.014781557954847813
11,0.0035132982302457094,0.011200148612260818
