Date,Actual,Predicted
2024-11-06,145.10000610351562,141.3103066701051
2024-11-07,149.82000732421875,140.05121223444667
2024-11-08,147.9499969482422,140.4638523149215
2024-11-11,147.35000610351562,141.1513718598071
2024-11-12,143.6300048828125,142.1008071612141
2024-11-13,139.3000030517578,142.45133654796518
2024-11-14,138.83999633789062,141.85636404835077
2024-11-15,134.89999389648438,140.839634226239
2024-11-18,138.92999267578125,139.4803494988182
2024-11-19,139.38999938964844,138.46405028214258
2024-11-20,137.60000610351562,138.46641447160437
2024-11-21,137.49000549316406,138.3557323127734
2024-11-22,138.35000610351562,138.06662630722303
2024-11-25,141.1300048828125,137.82884515730893
2024-11-26,137.72000122070312,138.0246422772011
2024-11-27,136.24000549316406,137.24217837408742
2024-11-29,137.17999267578125,135.5448476771262
2024-12-02,142.05999755859375,134.43015511829663
2024-12-03,141.97999572753906,134.98540012599187
2024-12-04,143.99000549316406,136.14834947672534
2024-12-05,141.36000061035156,138.0063125631077
2024-12-06,138.58999633789062,138.88330264032402
2024-12-09,130.8699951171875,138.97986176893755
2024-12-10,127.73999786376952,136.83124415360953
2024-12-11,130.14999389648438,133.9328596652549
2024-12-12,130.60000610351562,132.00204145143016
2024-12-13,126.91000366210938,130.67126363196803
2024-12-16,126.69000244140624,129.40337490836419
2024-12-17,125.0199966430664,127.81778218163981
2024-12-18,121.41000366210938,126.39881305651033
2024-12-19,118.87999725341795,124.81835861196123
2024-12-20,119.20999908447266,122.88282858096045
2024-12-23,124.5999984741211,120.74900060618847
2024-12-24,126.29000091552734,120.33843074415654
2024-12-26,125.05999755859376,120.4751065657565
2024-12-27,125.19000244140624,120.69699257846605
2024-12-30,122.44000244140624,121.11092861568613
2024-12-31,120.79000091552734,121.37445914259297
