Epoch,loss,val_loss
0,0.06135202571749687,0.0019444453064352274
1,0.011264635249972343,0.002871329430490732
2,0.01042245328426361,0.0007667886675335467
3,0.006061855237931013,0.0005827341228723526
4,0.006854264065623283,0.0007354877889156342
5,0.006382795050740242,0.0012054070830345154
6,0.006240639835596085,0.0009319339878857136
7,0.006346775684505701,0.000808156153652817
8,0.005041243974119425,0.0006375692319124937
9,0.0047475118190050125,0.0006701181409880519
10,0.005877279210835695,0.0009007776388898492
11,0.006148220971226692,0.0010183034464716911
12,0.004541674628853798,0.0015526009956374764
13,0.004706826061010361,0.002198064001277089
