Date,Actual,Predicted
2024-11-06,661.4299926757812,679.3188194573904
2024-11-07,677.2100219726562,676.3704871778864
2024-11-08,669.469970703125,672.5994103910434
2024-11-11,671.3099975585938,669.4862008132695
2024-11-12,669.1799926757812,667.2466530354632
2024-11-13,673.4099731445312,666.7468899406213
2024-11-14,692.9600219726562,667.2756245802611
2024-11-15,658.6300048828125,671.9177502021321
2024-11-18,665.22998046875,667.9969765749611
2024-11-19,662.1599731445312,663.2625288232775
2024-11-20,658.4299926757812,661.9744476262367
2024-11-21,672.1599731445312,662.127081091814
2024-11-22,672.8800048828125,664.911388641669
2024-11-25,684.469970703125,668.0988348426799
2024-11-26,671.969970703125,673.4223048873064
2024-11-27,670.47998046875,676.903792532632
2024-11-29,686.6099853515625,676.8579590751124
2024-12-02,711.469970703125,680.9344290995723
2024-12-03,718.0599975585938,689.918615659577
2024-12-04,719.9199829101562,699.7214417668947
2024-12-05,711.5,707.9554863529411
2024-12-06,708.97998046875,710.3789126574447
2024-12-09,706.52001953125,715.3197688510445
2024-12-10,705.27001953125,717.7346221044172
2024-12-11,714.4299926757812,718.7413319741463
2024-12-12,713.0999755859375,721.4882291286885
2024-12-13,718.5800170898438,722.5610446431419
2024-12-16,722.3800048828125,724.1712941548285
2024-12-17,735.1900024414062,725.1999339840804
2024-12-18,719.489990234375,731.3070724742611
2024-12-19,710.260009765625,730.9856225276199
2024-12-20,705.6799926757812,724.4444634562424
2024-12-23,721.0399780273438,713.0580937598679
2024-12-24,719.7100219726562,708.2765100152719
2024-12-26,715.8599853515625,707.9572704317216
2024-12-27,713.5900268554688,710.6791115417982
2024-12-30,696.1500244140625,713.6395771358402
2024-12-31,693.0800170898438,711.0924968047111
