Epoch,loss,val_loss
0,0.09882988035678864,0.11669038236141205
1,0.029048534110188484,0.07975774258375168
2,0.019182652235031128,0.060244880616664886
3,0.011960582807660103,0.011755377054214478
4,0.01069893129169941,0.009831775911152363
5,0.010294001549482346,0.010464908555150032
6,0.009516136720776558,0.009450065903365612
7,0.008549966849386692,0.01079740934073925
8,0.008174153976142406,0.009318741969764233
9,0.008221871219575405,0.010102478787302971
10,0.006681361701339483,0.01738344132900238
11,0.007360442541539669,0.00973633211106062
12,0.007032024208456278,0.009847751818597317
13,0.00674385204911232,0.008577865548431873
14,0.006998258642852306,0.011202032677829266
15,0.006209517829120159,0.010346240364015102
16,0.006217796355485916,0.008617829531431198
17,0.0075487117283046246,0.010330942459404469
18,0.0064348564483225346,0.011049162596464157
19,0.006870719138532877,0.013975040055811405
20,0.006176976021379232,0.012781539931893349
21,0.006589554715901613,0.015371178276836872
22,0.006041061598807573,0.01386337075382471
23,0.006499024573713541,0.012164010666310787
