Date,Actual,Predicted
2024-11-06,192.60836791992188,194.55374882059186
2024-11-07,200.5531463623047,194.59394968548804
2024-11-08,200.5630950927734,194.7449777394486
2024-11-11,193.43574523925778,194.93828736713294
2024-11-12,191.16296386718747,195.04815926220726
2024-11-13,186.0691375732422,195.0404253067536
2024-11-14,187.9033050537109,194.8759577058372
2024-11-15,185.4211883544922,194.61665427552543
2024-11-18,186.88653564453125,194.2526741790989
2024-11-19,189.0695953369141,193.83492280862993
2024-11-20,187.7637481689453,193.42893594907946
2024-11-21,190.63464355468747,193.00910386978285
2024-11-22,189.47830200195312,192.66422965315724
2024-11-25,184.494140625,192.30295840407234
2024-11-26,183.258056640625,191.86747520680183
2024-11-27,180.616455078125,191.36219011716275
2024-11-29,184.07546997070312,190.72529692262106
2024-12-02,193.78462219238278,190.1126655781827
2024-12-03,198.2604217529297,189.775917903582
2024-12-04,200.05471801757804,189.67092062510073
2024-12-05,203.65328979492188,189.8043935162168
2024-12-06,202.3773498535156,190.16998321758547
2024-12-09,198.53953552246088,190.666631402657
2024-12-10,191.33241271972653,191.1739972011237
2024-12-11,193.9840087890625,191.5669763589467
2024-12-12,191.46000671386716,191.89975890917776
2024-12-13,200.9900054931641,192.1120958993488
2024-12-16,202.2200012207031,192.4717706297106
2024-12-17,200.6600036621093,192.8831620977253
2024-12-18,195.55999755859366,193.28142808804114
2024-12-19,194.63999938964844,193.59534031041403
2024-12-20,197.21000671386716,193.80695755853776
2024-12-23,207.3600006103516,194.01700446037648
2024-12-24,206.3300018310547,194.403244215393
2024-12-26,203.05999755859366,194.821008672081
2024-12-27,201.63000488281247,195.22241535496687
2024-12-30,200.38999938964844,195.59973030859692
2024-12-31,197.49000549316406,195.92490976556473
