Epoch,loss,val_loss
0,0.13318370282649994,0.0032458207570016384
1,0.03618784621357918,0.01575595699250698
2,0.020693480968475342,0.0025955706369131804
3,0.010317325592041016,0.0009852865478023887
4,0.007985204458236694,0.0011459769448265433
5,0.006246937904506922,0.0026660009752959013
6,0.006201909855008125,0.001105846487917006
7,0.005745049100369215,0.0012090489035472274
8,0.005496292375028133,0.0017565775196999311
9,0.004942362662404776,0.0013455457519739866
10,0.005151501856744289,0.0014692851109430194
11,0.004730795044451952,0.0011853547766804695
12,0.004652092233300209,0.0011690345127135515
13,0.004525948781520128,0.001160081708803773
