Epoch,loss,val_loss
0,0.13330066204071045,0.11698613315820694
1,0.03229459375143051,0.11870434135198593
2,0.019127240404486656,0.024771973490715027
3,0.012752501294016838,0.0025779670104384422
4,0.012224791571497917,0.011619153432548046
5,0.010031058453023434,0.01576247252523899
6,0.008982541039586067,0.007883616723120213
7,0.009029344655573368,0.010146223939955235
8,0.010364190675318241,0.008954505436122417
9,0.008684640750288963,0.0076798633672297
10,0.009461037814617157,0.0040676952339708805
11,0.0077726817689836025,0.0048247938975691795
12,0.009403212927281857,0.0070586432702839375
13,0.007945587858557701,0.0056848712265491486
