Epoch,loss,val_loss
0,0.05609169602394104,0.2442532777786255
1,0.018281076103448868,0.05434026941657066
2,0.00950812827795744,0.036977510899305344
3,0.008833399042487144,0.06117948144674301
4,0.0071023134514689445,0.05006083846092224
5,0.00505001749843359,0.03619421273469925
6,0.005341078620404005,0.024177473038434982
7,0.004819187801331282,0.03246593102812767
8,0.003994663245975971,0.026560453698039055
9,0.004198960028588772,0.02787340059876442
10,0.0041742147877812386,0.02528742328286171
11,0.004768431652337313,0.02983628772199154
12,0.0042407698929309845,0.03655509650707245
13,0.004363950341939926,0.03094601258635521
14,0.003545028157532215,0.03087545372545719
15,0.0034549019765108824,0.02636335790157318
16,0.0037462711334228516,0.02666834183037281
