Date,Actual,Predicted
2024-11-06,145.10000610351562,145.21803444116722
2024-11-07,149.82000732421875,143.87731129230542
2024-11-08,147.9499969482422,143.1473357075929
2024-11-11,147.35000610351562,142.71022150468616
2024-11-12,143.6300048828125,142.59457082159224
2024-11-13,139.3000030517578,142.5061476514593
2024-11-14,138.83999633789062,142.17296669525967
2024-11-15,134.89999389648438,141.60105642909912
2024-11-18,138.92999267578125,140.60609702413285
2024-11-19,139.38999938964844,139.533359512267
2024-11-20,137.60000610351562,138.76667481412505
2024-11-21,137.49000549316406,138.19984900446025
2024-11-22,138.35000610351562,137.78723376660673
2024-11-25,141.1300048828125,137.52395994678682
2024-11-26,137.72000122070312,137.54729958951202
2024-11-27,136.24000549316406,137.29330034831628
2024-11-29,137.17999267578125,136.52932349589764
2024-12-02,142.05999755859375,135.62135881033873
2024-12-03,141.97999572753906,135.21711967630517
2024-12-04,143.99000549316406,135.20312914006809
2024-12-05,141.36000061035156,135.8075708188403
2024-12-06,138.58999633789062,136.49571971013256
2024-12-09,130.8699951171875,137.1108768395652
2024-12-10,127.73999786376952,136.8514743282335
2024-12-11,130.14999389648438,135.74539801856326
2024-12-12,130.60000610351562,134.46312955765507
2024-12-13,126.91000366210938,133.11783950690824
2024-12-16,126.69000244140624,131.63924395018648
2024-12-17,125.0199966430664,129.93041525999342
2024-12-18,121.41000366210938,128.19757203586278
2024-12-19,118.87999725341795,126.36733745530455
2024-12-20,119.20999908447266,124.3697298540751
2024-12-23,124.5999984741211,122.18409259255122
2024-12-24,126.29000091552734,120.54768014349065
2024-12-26,125.05999755859376,119.35412054286053
2024-12-27,125.19000244140624,118.53781270864238
2024-12-30,122.44000244140624,118.10999378654424
2024-12-31,120.79000091552734,117.94092318674984
