Epoch,loss,val_loss
0,0.07195679843425751,0.24391335248947144
1,0.014303493313491344,0.011020483449101448
2,0.011082522571086884,0.03299374505877495
3,0.007562414743006229,0.020385771989822388
4,0.005693366285413504,0.01100447028875351
5,0.005018157884478569,0.019903814420104027
6,0.004301659297198057,0.03414349630475044
7,0.005073108710348606,0.029264485463500023
8,0.005308712832629681,0.023018313571810722
9,0.004506269004195929,0.02447880618274212
10,0.004120662342756987,0.026456452906131744
11,0.0036731925792992115,0.024216964840888977
12,0.004890117794275284,0.038594309240579605
13,0.00453207129612565,0.028599435463547707
14,0.004011978395283222,0.03499385342001915
