Epoch,loss,val_loss
0,0.08954087644815445,0.10996653139591217
1,0.02712322771549225,0.21905037760734558
2,0.014415561221539974,0.13168703019618988
3,0.011146229691803455,0.042947180569171906
4,0.009779836051166058,0.07192963361740112
5,0.006658515892922878,0.06204643473029137
6,0.008443769998848438,0.05938105657696724
7,0.007330489344894886,0.04841514304280281
8,0.007487903814762831,0.04536588117480278
9,0.006898544263094664,0.03463283181190491
10,0.006307108327746391,0.03780566528439522
11,0.006086711771786213,0.0413372665643692
12,0.007206869777292013,0.04224130138754845
13,0.006511876825243235,0.03318187594413757
14,0.005294077098369598,0.021954402327537537
15,0.005232157185673714,0.03220754861831665
16,0.0053015281446278095,0.03775621950626373
17,0.005044553428888321,0.026760106906294823
18,0.005351037252694368,0.031657882034778595
19,0.005315732676535845,0.047685202211141586
20,0.0054092444479465485,0.043720826506614685
21,0.005143293645232916,0.05025160685181618
22,0.005401514004915953,0.03839116171002388
23,0.005057798698544502,0.033664263784885406
24,0.005623473785817623,0.041425567120313644
