Epoch,loss,val_loss
0,0.09887117892503738,0.12052031606435776
1,0.030546845868229866,0.08177385479211807
2,0.008289001882076263,0.0044390796683728695
3,0.006071430165320635,0.03248943015933037
4,0.005816823802888393,0.014081407338380814
5,0.0049627600237727165,0.025842368602752686
6,0.005566966719925404,0.021172817796468735
7,0.004716238472610712,0.02805267460644245
8,0.005100333597511053,0.01392058003693819
9,0.004806868731975555,0.021123630926012993
10,0.003953571431338787,0.026491856202483177
11,0.004277233965694904,0.03066113404929638
12,0.004803841467946768,0.030485084280371666
