Epoch,loss,val_loss
0,0.06725145131349564,0.017070140689611435
1,0.015218677930533886,0.004540164954960346
2,0.010733718983829021,0.0010944018140435219
3,0.007943203672766685,0.002089940942823887
4,0.007053543347865343,0.0011778221232816577
5,0.006310491822659969,0.001142627908848226
6,0.005723975133150816,0.0016630931058898568
7,0.005507414694875479,0.0013810941018164158
8,0.005911295767873526,0.00226382352411747
9,0.006422441452741623,0.0015145376091822982
10,0.005293258931487799,0.0028732293285429478
11,0.0069765509106218815,0.0016799018485471606
12,0.005340835079550743,0.0014889804879203439
