Epoch,loss,val_loss
0,0.06554041057825089,0.16356034576892853
1,0.016637099906802177,0.01716700941324234
2,0.008200766518712044,0.025708511471748352
3,0.0062480210326612,0.044727079570293427
4,0.005348398350179195,0.024886230006814003
5,0.0048792664892971516,0.02493496611714363
6,0.004255775827914476,0.027573736384510994
7,0.0053665125742554665,0.025058552622795105
8,0.004059025086462498,0.034708328545093536
9,0.00421211589127779,0.031112128868699074
10,0.004219115246087313,0.03268052637577057
11,0.003296729177236557,0.03229280561208725
