Epoch,loss,val_loss
0,0.06761230528354645,0.295198529958725
1,0.017694363370537758,0.06146510690450668
2,0.008422338403761387,0.0635383352637291
3,0.006306386552751064,0.08180377632379532
4,0.0047878664918243885,0.06578025966882706
5,0.004917694255709648,0.06607937067747116
6,0.004521445836871862,0.06382053345441818
7,0.004469816107302904,0.07403413951396942
8,0.004961250815540552,0.06928350031375885
9,0.004411422181874514,0.06383601576089859
10,0.003822839353233576,0.06539423018693924
11,0.00395949324592948,0.06494538486003876
