Epoch,loss,val_loss
0,0.04206882789731026,0.09556570649147034
1,0.011384310200810432,0.0022344356402754784
2,0.006044698413461447,0.0019711670465767384
3,0.00591993797570467,0.002233291044831276
4,0.0038825643714517355,0.0024857567623257637
5,0.0032304220367223024,0.003346203127875924
6,0.0036887843161821365,0.003646672936156392
7,0.003439884865656495,0.00330720329657197
8,0.004527072887867689,0.0045951190404593945
9,0.0030554397962987423,0.008556787855923176
10,0.0035044229589402676,0.013724950142204762
11,0.0036587677896022797,0.006568103097379208
12,0.0027889003977179527,0.0025213772896677256
