Epoch,loss,val_loss
0,0.06846551597118378,0.00401805667206645
1,0.021684108301997185,0.0028190447483211756
2,0.01053993497043848,0.006396220065653324
3,0.006621924694627523,0.001929249963723123
4,0.0066983806900680065,0.002333687385544181
5,0.0062487805262207985,0.0027684946544468403
6,0.005284527782350779,0.0028181495144963264
7,0.007369987666606903,0.0019589103758335114
8,0.005513289012014866,0.0032487541902810335
9,0.005517834797501564,0.002092540031298995
10,0.004212702624499798,0.003081341041252017
11,0.005457176826894283,0.003829726716503501
12,0.005389395169913769,0.0021039708517491817
13,0.005604285281151533,0.0034313832875341177
