Epoch,loss,val_loss
0,0.13280120491981506,0.014584410935640335
1,0.028796793892979622,0.013829438015818596
2,0.020632285624742508,0.0013768969802185893
3,0.009902318939566612,0.0022270239423960447
4,0.008066021837294102,0.0013319544959813356
5,0.006715820170938969,0.001363663817755878
6,0.005592073313891888,0.0011173359816893935
7,0.00610272865742445,0.0012996511068195105
8,0.006564755458384752,0.0012587534729391336
9,0.005239424295723438,0.0013281378196552396
10,0.005826706066727638,0.0012164936633780599
11,0.005278525874018669,0.001183352549560368
12,0.0056976936757564545,0.0016720942221581936
13,0.004809207748621702,0.001986290095373988
14,0.005112157203257084,0.0016391230747103691
15,0.004859898705035448,0.0028656998183578253
16,0.005774504970759153,0.002072472358122468
