Date,Stock,RSI,Volume,Close,MACD,General Sentiment Score
2023-01-25,AMD,69.46448782223541,49932600,74.91000366210938,2.574005474867164,
2023-01-26,AMD,76.45361202279318,49583900,75.16000366210938,2.704456454713963,
2023-01-27,AMD,75.02187693780274,58118600,75.4000015258789,2.794986750510432,
2023-01-30,AMD,61.56235597532452,48105200,72.44999694824219,2.5987353435821063,
2023-01-31,AMD,64.53725796126506,71669100,75.1500015258789,2.6307468817422546,
2023-02-01,AMD,73.67780774394924,152548200,84.63999938964844,3.382883991863679,
2023-02-02,AMD,75.13636747963633,97762100,88.30999755859375,4.226377205671099,
2023-02-03,AMD,70.4748898758676,66557800,86.08999633789062,4.6619757549436684,
2023-02-06,AMD,65.63227586560666,53008900,83.68000030517578,4.757878345012514,
2023-02-07,AMD,69.30220934485658,65291900,85.91000366210938,4.956686871744779,
2023-02-08,AMD,72.20187961561751,54140400,84.69000244140625,4.958640043211176,
2023-02-09,AMD,67.58564481834452,46525400,83.20999908447266,4.78559864146267,
2023-02-10,AMD,57.58504854355312,49332600,81.4800033569336,4.457482799816546,
2023-02-13,AMD,62.98921281352517,45400000,83.12999725341797,4.281237903661605,
2023-02-14,AMD,65.74442962764374,55979700,85.94999694824219,4.319322500236595,
2023-02-15,AMD,64.08094192803279,46430200,85.18000030517578,4.238513577305881,
2023-02-16,AMD,55.78635126800968,57755200,80.08000183105469,3.720062108956697,
2023-02-17,AMD,57.74251891531742,47826600,78.5,3.145434036303186,
2023-02-21,AMD,52.12597835494195,44045600,76.7699966430664,2.521375488955414,
2023-02-22,AMD,36.04448758134576,50286800,76.61000061035156,1.9909438895466565,
2023-02-23,AMD,34.844191716160495,76391300,79.75,1.8031590391607888,
2023-02-24,AMD,35.54912912422907,46700000,78.08999633789062,1.5030633908650088,
2023-02-27,AMD,40.53949086795178,45617300,78.7699966430664,1.30506182875709,
2023-02-28,AMD,34.67167422373825,44220100,78.58000183105469,1.1199036189820646,
2023-03-01,AMD,36.07483716147864,44266000,78.29000091552734,0.9389402349398352,
2023-03-02,AMD,44.14376691008697,60108600,80.44000244140625,0.9579697254618792,
2023-03-03,AMD,50.08694198405522,54536200,81.5199966430664,1.048115220157598,
2023-03-06,AMD,45.46293169279558,54541300,81.16000366210938,1.0780803104536003,
2023-03-07,AMD,40.32258064516129,70959000,82.11000061035156,1.1650546498848513,
2023-03-08,AMD,50.42544235481592,69529800,85.37000274658203,1.4799771130144848,
2023-03-09,AMD,60.63542982227652,79496700,84.02999877929688,1.6029504971301805,-0.4660837352275848
2023-03-10,AMD,61.36239849989813,70273600,82.66999816894531,1.5725398462853235,
2023-03-13,AMD,65.16206739128323,65269100,82.01000213623047,1.4781438996087104,
2023-03-14,AMD,74.0248334281372,66616300,87.44999694824219,1.8213017167079213,
2023-03-15,AMD,72.93304065571252,86177400,89.68000030517578,2.2472939868776933,0.299655944108963
2023-03-16,AMD,84.3924477162124,115839200,96.5999984741211,3.1074610725746936,
2023-03-17,AMD,84.71062019777561,94080800,97.83999633789062,3.844885700671341,
2023-03-20,AMD,82.19711608167418,92008900,96.80999755859376,4.29665853287527,
2023-03-21,AMD,80.51905264497313,85285300,95.93000030517578,4.531447625835028,
2023-03-22,AMD,80.17607796172513,110816300,97.58000183105467,4.795382818955261,
2023-03-23,AMD,81.24585904316353,84088900,100.27999877929688,5.16290578585847,0.6572056263685226
2023-03-24,AMD,76.24257332234356,64712400,97.9499969482422,5.206145505190136,
2023-03-27,AMD,72.39037159734315,57461400,96.61000061035156,5.073799189903838,
2023-03-28,AMD,64.74173500365805,59150100,94.55999755859376,4.748754976477741,
2023-03-29,AMD,69.2283214156426,55326000,96.08999633789062,4.562025025543903,
2023-03-30,AMD,73.92262652884952,59678500,97.87999725341795,4.506529837583173,
2023-03-31,AMD,75.59181511772358,55861100,98.01000213623048,4.422064996213422,
2023-04-03,AMD,66.703335502502,50655300,96.55999755859376,4.189825054517229,
2023-04-04,AMD,62.0287669437524,43195900,95.87000274658205,3.905081068987741,0.7729834914207458
2023-04-05,AMD,40.86799183116828,52979300,92.55999755859376,3.37344270556828,
